Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6
758.3333,3902.4653,868.1547,187.7249,1151.2065,44.8291
788.1404,3830.802,998.1047,215.572,1205.1311,48.1541
803.9879,3761.1864,1129.1,225.5086,1260.3057,46.7617
804.1004,3695.0407,1259.0524,217.6432,1315.9683,41.5638
786.7002,3633.6887,1385.7628,192.0204,1371.3141,33.5018
750.1244,3578.2966,1506.9176,148.6588,1425.4531,23.5116
693.0014,3529.802,1620.0981,87.6364,1477.3652,12.479
614.4927,3488.8442,1722.8111,9.2206,1525.8659,1.1765
514.5924,3455.7101,1812.5501,-85.9664,1569.5998,-9.8203
394.4449,3430.3264,1886.8934,-196.767,1607.0878,-20.23
256.6073,3412.3215,1943.6402,-321.3303,1636.847,-30.15
105.1506,3401.1672,1980.9743,-457.032,1657.5836,-40.0918
-54.4984,3396.3764,1997.6285,-600.5255,1668.419,-50.9262
-216.0142,3397.6911,1993.0179,-747.9497,1669.0765,-63.7262
-372.8575,3405.1852,1967.3057,-895.2639,1659.9494,-79.5374
-519.0179,3419.2354,1921.3845,-1038.6262,1642.0122,-99.1478
-649.6159,3440.3718,1856.778,-1174.715,1616.6108,-122.9319
-761.233,3469.0769,1775.4897,-1300.9246,1585.2111,-150.8069
-851.9476,3505.6063,1679.8346,-1415.4169,1549.1895,-182.2901
-921.1503,3549.8804,1572.2859,-1517.0584,1509.7106,-216.6126
-969.2464,3601.4555,1455.354,-1605.2847,1467.6901,-252.8422
-997.3387,3659.5554,1331.5054,-1679.9392,1423.8198,-289.9827
-1006.9507,3723.1345,1203.1156,-1741.1115,1378.6213,-327.0394
-999.8129,3790.9504,1072.4489,-1788.9954,1332.5077,-363.051
-977.7131,3861.63,941.6557,-1823.7715,1285.8378,-397.0968
-942.4019,3933.7244,812.7784,-1845.5173,1238.9589,-428.2898
-895.5376,4005.7512,687.761,-1854.1428,1192.2382,-455.7623
-838.6602,4076.2273,568.4567,-1849.353,1146.0845,-478.6534
-773.1859,4143.6943,456.6329,-1830.6395,1100.9637,-496.1018
-702.2735,4205.2604,356.3616,-1798.3047,1058.4525,-507.0613
-630.6088,4257.9601,271.7244,-1754.7804,1020.5161,-511.2113
-560.0953,4301.8679,201.9704,-1702.2201,987.2828,-509.2604
-492.1285,4337.4779,145.8703,-1642.8624,958.6981,-502.1307
-427.7652,4365.5311,101.9555,-1579.0357,934.5832,-490.8826
-367.7956,4386.926,68.622,-1513.0872,914.6505,-476.6462
-312.7998,4402.6417,44.2211,-1447.288,898.5262,-460.5504
-263.1936,4413.6739,27.1337,-1383.7376,885.7765,-443.6598
-219.2651,4420.9848,15.8286,-1324.2874,875.9363,-426.9258
-181.2053,4425.4662,8.9062,-1270.4946,868.5368,-411.1572
-149.1333,4427.9131,5.1287,-1223.6099,863.1307,-397.01
-123.1168,4429.007,3.4406,-1184.592,859.3134,-384.9914
-103.1891,4429.3056,2.9798,-1154.1407,856.7392,-375.4757
-89.3628,4429.238,3.084,-1132.7385,855.1337,-368.7232
-81.6402,4429.1023,3.2935,-1120.6899,854.3019,-364.9
-79.7964,4429.0595,3.3595,-1117.8035,854.1103,-363.9819
