Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6
-1144.1143,4428.0391,-874.6894,0,-1680.7078,472.6799
-1158.3563,4543.8783,-945.7539,0,-1679.228,478.5639
-1170.6895,4646.692,-1010.5256,0,-1678.9914,483.6593
-1181.1924,4736.1895,-1068.2061,0,-1679.6085,487.9984
-1189.9304,4812.0863,-1118.0664,0,-1680.7313,491.6084
-1196.9574,4874.115,-1159.4596,0,-1682.057,494.5116
-1202.3161,4922.0366,-1191.8349,0,-1683.3324,496.7255
-1206.0387,4955.6528,-1214.7515,0,-1684.3576,498.2634
-1208.1475,4974.8169,-1227.8919,0,-1684.9902,499.1347
-1208.6905,4979.7653,-1231.2939,0,-1685.1592,499.359
-1208.6905,4979.7653,-1231.2939,0,-1685.1592,499.359
-1208.6905,5002.0258,-1234.6772,0,-1678.3606,499.359
-1208.6905,5073.0092,-1246.4425,0,-1657.3007,499.359
-1208.6905,5189.2718,-1268.8029,0,-1624.7665,499.359
-1208.6905,5315.3597,-1297.1651,0,-1592.0904,499.359
-1208.6905,5444.6439,-1330.4459,0,-1561.2491,499.359
-1208.6905,5577.0975,-1368.7321,0,-1532.3084,499.359
-1208.6905,5712.7138,-1412.13,0,-1505.3383,499.359
-1208.6905,5843.892,-1457.9912,0,-1481.7136,499.359
-1208.6905,5927.1138,-1489.0071,0,-1467.9435,499.359
-1208.6905,5953.7307,-1499.2357,0,-1463.7353,499.359
-1208.6905,5953.7307,-1499.2357,0,-1463.7353,499.359
-1208.6905,5927.1138,-1489.0071,0,-1467.9435,499.359
-1208.6905,5843.892,-1457.9912,0,-1481.7136,499.359
-1208.6905,5712.7138,-1412.13,0,-1505.3383,499.359
-1208.6905,5577.0975,-1368.7321,0,-1532.3084,499.359
-1208.6905,5444.6439,-1330.4459,0,-1561.2491,499.359
-1208.6905,5315.3597,-1297.1651,0,-1592.0904,499.359
-1208.6905,5189.2718,-1268.8029,0,-1624.7665,499.359
-1208.6905,5073.0092,-1246.4425,0,-1657.3007,499.359
-1208.6905,5002.0258,-1234.6772,0,-1678.3606,499.359
-1208.6905,4979.7653,-1231.2939,0,-1685.1592,499.359
-1208.6905,4979.7653,-1231.2939,0,-1685.1592,499.359
-1205.9337,4977.8387,-1228.7111,0,-1684.2955,498.22
-1195.7401,4970.7734,-1219.238,0,-1681.1272,494.0086
-1177.9505,4958.6623,-1202.9933,0,-1675.6923,486.659
-1152.4826,4941.7984,-1180.361,0,-1668.1164,476.1372
-1119.2213,4920.5913,-1151.8786,0,-1658.5759,462.3957
-1078.0215,4895.5602,-1118.2295,0,-1647.2956,445.3743
-1028.7114,4867.3258,-1080.2333,0,-1634.5457,425.0023
-971.098,4836.6025,-1038.8371,0,-1620.6398,401.1999
-904.9736,4804.1912,-995.1084,0,-1605.9331,373.8813
-830.1269,4770.9751,-950.23,0,-1590.8207,342.9591
-749.86,4739.2147,-907.2566,0,-1576.3314,309.7975
-668.7166,4710.9445,-868.9535,0,-1563.4013,276.2739
-586.8245,4686.1253,-835.2847,0,-1552.0233,242.441
-504.2657,4664.7069,-806.1975,0,-1542.1842,208.3326
-421.1268,4646.6482,-781.6496,0,-1533.8737,173.9846
-337.4983,4631.9156,-761.6071,0,-1527.0837,139.4342
-253.4739,4620.4831,-746.0439,0,-1521.8082,104.7203
-169.15,4612.3307,-734.9407,0,-1518.043,69.8827
-84.6254,4607.4448,-728.284,0,-1515.785,34.9622
0,4605.817,-726.0659,-0,-1515.0325,0
84.6254,4607.4448,-728.284,-0,-1515.785,-34.9622
169.15,4612.3307,-734.9407,-0,-1518.043,-69.8827
253.4739,4620.4831,-746.0439,-0,-1521.8082,-104.7203
337.4983,4631.9156,-761.6071,-0,-1527.0837,-139.4342
421.1268,4646.6482,-781.6496,-0,-1533.8737,-173.9846
504.2657,4664.7069,-806.1975,-0,-1542.1842,-208.3326
586.8245,4686.1253,-835.2847,-0,-1552.0233,-242.441
668.7166,4710.9445,-868.9535,-0,-1563.4013,-276.2739
749.86,4739.2147,-907.2566,-0,-1576.3314,-309.7975
830.1269,4770.9751,-950.23,-0,-1590.8207,-342.9591
904.9736,4804.1912,-995.1084,-0,-1605.9331,-373.8813
971.098,4836.6025,-1038.8371,-0,-1620.6398,-401.1999
1028.7114,4867.3258,-1080.2333,-0,-1634.5457,-425.0023
1078.0215,4895.5602,-1118.2295,-0,-1647.2956,-445.3743
1119.2213,4920.5913,-1151.8786,-0,-1658.5759,-462.3957
1152.4826,4941.7984,-1180.361,-0,-1668.1164,-476.1372
1177.9505,4958.6623,-1202.9933,-0,-1675.6923,-486.659
1195.7401,4970.7734,-1219.238,-0,-1681.1272,-494.0086
1205.9337,4977.8387,-1228.7111,-0,-1684.2955,-498.22
1208.6905,4979.7653,-1231.2939,-0,-1685.1592,-499.359
1208.6905,4979.7653,-1231.2939,-0,-1685.1592,-499.359
1208.6905,5002.0258,-1234.6772,-0,-1678.3606,-499.359
1208.6905,5073.0092,-1246.4425,-0,-1657.3007,-499.359
1208.6905,5189.2718,-1268.8029,-0,-1624.7665,-499.359
1208.6905,5315.3597,-1297.1651,-0,-1592.0904,-499.359
1208.6905,5444.6439,-1330.4459,-0,-1561.2491,-499.359
1208.6905,5577.0975,-1368.7321,-0,-1532.3084,-499.359
1208.6905,5712.7138,-1412.13,-0,-1505.3383,-499.359
1208.6905,5843.892,-1457.9912,-0,-1481.7136,-499.359
1208.6905,5927.1138,-1489.0071,-0,-1467.9435,-499.359
1208.6905,5953.7307,-1499.2357,-0,-1463.7353,-499.359
